source,target,relationship,followers,platform
clairefarrone,indibiz,comment,11449,instagram
anggraeeniria,indibiz,comment,3622,instagram
hayulestari29_,indibiz,comment,9318,instagram
dwijuliii,indibiz,comment,5792,instagram
dwijuliii,indibiz,comment,5792,instagram
madani_yahra,indibiz,comment,1947,instagram
madani_yahra,indibiz,comment,1947,instagram
agista.c.l,indibiz,comment,765,instagram
agista.c.l,indibiz,comment,765,instagram
agista.c.l,indibiz,comment,765,instagram
agista.c.l,indibiz,comment,765,instagram
sorayajacob29,indibiz,comment,1191,instagram
afrin_ananda,indibiz,comment,1380,instagram
triyono.ko2,indibiz,comment,254,instagram
triyono.ko2,indibiz,comment,254,instagram
triyono.ko2,indibiz,comment,254,instagram
triyono.ko2,indibiz,comment,254,instagram
agnesjois,indibiz,comment,819,instagram
hernita_syarif,indibiz,comment,1365,instagram
indibiz.sumalut,indibiz,comment,1036,instagram
irma_akhasya96,indibiz,comment,2036,instagram
irma_akhasya96,indibiz,comment,2036,instagram
irma_akhasya96,indibiz,comment,2036,instagram
irma_akhasya96,indibiz,comment,2036,instagram
irma_akhasya96,indibiz,comment,2036,instagram
nopno87,indibiz,comment,1127,instagram
akbaar.ari,indibiz,comment,3861,instagram
septian_rey82,indibiz,comment,18,instagram
cand.ra500,indibiz,comment,289,instagram
adyarizkia,indibiz,comment,1787,instagram
bastian.deyud86,indibiz,comment,1103,instagram
nabilaalexandraa,indibiz,comment,1225,instagram
novii_nizaar,indibiz,comment,839,instagram
novii_nizaar,indibiz,comment,839,instagram
hilya2742,indibiz,comment,539,instagram
hilya2742,indibiz,comment,539,instagram
hilya2742,indibiz,comment,539,instagram
marjua_amna,indibiz,comment,684,instagram
reyhan_aliakbar,indibiz,comment,4626,instagram
ofn.athan,indibiz,comment,181,instagram
we.iloyu,indibiz,comment,171,instagram
bgs.pratama007,indibiz,comment,865,instagram
bgs.pratama007,indibiz,comment,865,instagram
bgs.pratama007,indibiz,comment,865,instagram
andra.look,indibiz,comment,229,instagram
silkanaapriani,indibiz,comment,3290,instagram
silkanaapriani,indibiz,comment,3290,instagram
silkanaapriani,indibiz,comment,3290,instagram
silkanaapriani,indibiz,comment,3290,instagram
silkanaapriani,indibiz,comment,3290,instagram
silkanaapriani,indibiz,comment,3290,instagram
silkanaapriani,indibiz,comment,3290,instagram
silkanaapriani,indibiz,comment,3290,instagram
silkanaapriani,indibiz,comment,3290,instagram
call_me_lalaaaaaaaa,indibiz,comment,867,instagram
call_me_lalaaaaaaaa,indibiz,comment,867,instagram
call_me_lalaaaaaaaa,indibiz,comment,867,instagram
call_me_lalaaaaaaaa,indibiz,comment,867,instagram
call_me_lalaaaaaaaa,indibiz,comment,867,instagram
inalim889,indibiz,comment,951,instagram
inalim889,indibiz,comment,951,instagram
inalim889,indibiz,comment,951,instagram
salimtina08,indibiz,comment,2407,instagram
salimtina08,indibiz,comment,2407,instagram
salimtina08,indibiz,comment,2407,instagram
antonnyberr,indibiz,comment,1099,instagram
antonnyberr,indibiz,comment,1099,instagram
antonnyberr,indibiz,comment,1099,instagram
kakhnis,indibiz,comment,2300,instagram
kakhnis,indibiz,comment,2300,instagram
kakhnis,indibiz,comment,2300,instagram
kakhnis,indibiz,comment,2300,instagram
kakhnis,indibiz,comment,2300,instagram
rinigus_tian,indibiz,comment,1559,instagram
safiracute01,indibiz,comment,93,instagram
putripwh,indibiz,comment,1052,instagram
ayahnya_iza,indibiz,comment,4,instagram
ayahnya_iza,indibiz,comment,4,instagram
dwi_miatun,indibiz,comment,8460,instagram
lindasalam10,indibiz,comment,1624,instagram
lindasalam10,indibiz,comment,1624,instagram
lindasalam10,indibiz,comment,1624,instagram
lindasalam10,indibiz,comment,1624,instagram
