source,target,relationship,followers,platform,layanan,sentiment
100unee_exo,telkomsel,mention,0,twitter,Telkomsel,negative
10n3s,telkomsel,mention,0,twitter,Telkomsel,negative
10tacruel,reyagasi,mention,0,twitter,Telkomsel,neutral
10tacruel,telkomsel,mention,0,twitter,Telkomsel,neutral
1102s_k,elonmusk,mention,0,twitter,Telkomsel,neutral
1102s_k,pertamina,mention,0,twitter,Telkomsel,neutral
1102s_k,pln_123,mention,0,twitter,Telkomsel,neutral
1102s_k,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
1102s_k,starlink,mention,0,twitter,Telkomsel,neutral
1102s_k,tanyakanrl,mention,0,twitter,Telkomsel,negative
1102s_k,telkomindonesia,mention,0,twitter,Telkomsel,neutral
1102s_k,telkomsel,mention,0,twitter,Telkomsel,neutral
1111111111110ne,telkomsel,mention,0,twitter,Telkomsel,neutral
11ahmadyanuar,telkomsel,mention,0,twitter,Telkomsel,neutral
11xn_dl,obiwan_catnobi,retweet,0,twitter,Telkomsel,neutral
11zeff,telkomsel,mention,0,twitter,Telkomsel,negative
1204lovebot,telkomsel,mention,0,twitter,Telkomsel,neutral
1212maontwt,elonmusk,mention,0,twitter,Telkomsel,neutral
1212maontwt,pertamina,mention,0,twitter,Telkomsel,neutral
1212maontwt,pln_123,mention,0,twitter,Telkomsel,neutral
1212maontwt,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
1212maontwt,starlink,mention,0,twitter,Telkomsel,neutral
1212maontwt,telkomindonesia,mention,0,twitter,Telkomsel,neutral
1212maontwt,telkomsel,mention,0,twitter,Telkomsel,neutral
123sehatceria,guirrler,mention,0,twitter,Telkomsel,neutral
123sehatceria,tanyakanrl,mention,0,twitter,Telkomsel,neutral
123x78,telkomsel,mention,0,twitter,Telkomsel,neutral
126americano,theiraberry,mention,0,twitter,Telkomsel,neutral
12ina_kw,telkomsel,mention,0,twitter,Telkomsel,neutral
131idkonic_,telkomsel,mention,0,twitter,Telkomsel,neutral
13thsieg,telkomsel,mention,0,twitter,Telkomsel,negative
13youthh,elonmusk,mention,0,twitter,Telkomsel,neutral
13youthh,pertamina,mention,0,twitter,Telkomsel,neutral
13youthh,pln_123,mention,0,twitter,Telkomsel,neutral
13youthh,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
13youthh,starlink,mention,0,twitter,Telkomsel,neutral
13youthh,telkomindonesia,mention,0,twitter,Telkomsel,neutral
13youthh,telkomsel,mention,0,twitter,Telkomsel,neutral
140602_,telkomsel,mention,0,twitter,Telkomsel,negative
143guran,songsongwlwl,mention,0,twitter,Telkomsel,neutral
145aleesya,indihome,mention,0,twitter,Telkomsel,neutral
145aleesya,telkomsel,mention,0,twitter,Telkomsel,negative
157anto,novendracy,mention,0,twitter,Telkomsel,neutral
157anto,raissa1961,mention,0,twitter,Telkomsel,neutral
157anto,telkomsel,mention,0,twitter,Telkomsel,neutral
15mapw,telkomsel,mention,0,twitter,Telkomsel,neutral
15siskae,danawallet,mention,0,twitter,Telkomsel,neutral
15siskae,milogoldcom,mention,0,twitter,Telkomsel,neutral
15siskae,tantetasyaa,mention,0,twitter,Telkomsel,neutral
15siskae,telkomsel,mention,0,twitter,Telkomsel,neutral
165hati,tempodotco,mention,0,twitter,Telkomsel,negative
165nlm,byu_id,mention,0,twitter,Telkomsel,neutral
165nlm,elonmusk,mention,0,twitter,Telkomsel,neutral
