source,target,relationship,followers,platform,layanan
rrddffnn97370,@indihome,mention,0,twitter,IndiHome
vnewsindonesia,@pln_123,mention,0,twitter,IndiHome
eldodys,@pln_123,mention,0,twitter,IndiHome
messengerofdude,@indihome,mention,0,twitter,IndiHome
asmaraajiiwa,@indihome,mention,0,twitter,IndiHome
najah_ulin45402,@indihome,mention,0,twitter,IndiHome
zorudikke,@indihomecare,mention,0,twitter,IndiHome
konitlysh,@indihomecare,mention,0,twitter,IndiHome
konitlysh,@indihome,mention,0,twitter,IndiHome
heroe120503,@indihome,mention,0,twitter,IndiHome
cikiysite,@indihome,mention,0,twitter,IndiHome
918spy,@rolexxkushh,mention,0,twitter,IndiHome
918spy,@freebismillah,mention,0,twitter,IndiHome
918spy,@indihome,mention,0,twitter,IndiHome
bisagitudeh,@indihome,mention,0,twitter,IndiHome
sobatrabi,@indihome,mention,0,twitter,IndiHome
sobatrabi,@indihomecare,mention,0,twitter,IndiHome
_lalalalostyouu,@indihome,mention,0,twitter,IndiHome
adewirasenjaya,@indihomecare,mention,0,twitter,IndiHome
ary638717,@myrepublic_idn,mention,0,twitter,IndiHome
limitlesstype,@indihomecare,mention,0,twitter,IndiHome
cxpungg,@indihome,mention,0,twitter,IndiHome
warungnasinigga,@indihome,mention,0,twitter,IndiHome
nycattawin,@indihomecare,mention,0,twitter,IndiHome
karwina21,@indihome,mention,0,twitter,IndiHome
mlewoi,@indihome,mention,0,twitter,IndiHome
mlewoi,@indihomecare,mention,0,twitter,IndiHome
angkringandhl,@indihome,mention,0,twitter,IndiHome
indihome,@apank_disandi,mention,0,twitter,IndiHome
harurormm,@indihome,mention,0,twitter,IndiHome
tidakpunyauang,@yizhaniturealya,mention,0,twitter,IndiHome
tidakpunyauang,@indihome,mention,0,twitter,IndiHome
indihome,@pompomfly,mention,0,twitter,IndiHome
indihome,@indihome,mention,0,twitter,IndiHome
indihome,@gagitugie___,mention,0,twitter,IndiHome
iamyyoouurrss,@indihome,mention,0,twitter,IndiHome
hanaamoonn,@indihome,mention,0,twitter,IndiHome
opalaite,@indihome,mention,0,twitter,IndiHome
hconxy,@indihomejtd,mention,0,twitter,IndiHome
hconxy,@indihome,mention,0,twitter,IndiHome
nassykucink,@indihomecare,mention,0,twitter,IndiHome
indihome,@khoiv_art,mention,0,twitter,IndiHome
indihome,@peachestyng,mention,0,twitter,IndiHome
iitoetes,@indihome,mention,0,twitter,IndiHome
telkomsel,@reanjunie,mention,0,twitter,IndiHome
indihome,@yizhaniturealya,mention,0,twitter,IndiHome
chanfelic,@indihome,mention,0,twitter,IndiHome
peachestyng,@indihome,mention,0,twitter,IndiHome
hp1290895558,@indihome,mention,0,twitter,IndiHome
nodevilnolived,@indihome,mention,0,twitter,IndiHome
kunoichianon,@indihomecare,mention,0,twitter,IndiHome
b4ngda,@indihome,mention,0,twitter,IndiHome
nabillafadis_,@indihome,mention,0,twitter,IndiHome
jaerimfrey,@may212025,mention,0,twitter,IndiHome
jaerimfrey,@cryptowaveid,mention,0,twitter,IndiHome
zorudikke,@indihome,mention,0,twitter,IndiHome
godwspeed,@gokil,mention,0,twitter,IndiHome
destinedtofade,@basebdg,mention,0,twitter,IndiHome
soobiniesweet,@indihome,mention,0,twitter,IndiHome
may212025,@cryptowaveid,mention,0,twitter,IndiHome
indihome,@kimboooyz,mention,0,twitter,IndiHome
tireliye,@indihome,mention,0,twitter,IndiHome
indihome,@j_urneyy,mention,0,twitter,IndiHome
indihome,@masarifa,mention,0,twitter,IndiHome
cxpungg,@indihomen,mention,0,twitter,IndiHome
cxpungg,@indihomecare,mention,0,twitter,IndiHome
alfiditto,@indihome,mention,0,twitter,IndiHome
alfiditto,@indihomecare,mention,0,twitter,IndiHome
indihome,@fchrisabela,mention,0,twitter,IndiHome
indihome,@rampoeng,mention,0,twitter,IndiHome
ismidn,@indihome,mention,0,twitter,IndiHome
lovintyoung,@indihome,mention,0,twitter,IndiHome
salahdimatamuu,@icibosadd,mention,0,twitter,IndiHome
indihome,@thisisnotbisky,mention,0,twitter,IndiHome
rrawwwwwrr,@indihome,mention,0,twitter,IndiHome
dodudukyunggg,@indihomecare,mention,0,twitter,IndiHome
ars_maman,@indihome,mention,0,twitter,IndiHome
thisisnotbisky,@indihome,mention,0,twitter,IndiHome
gagitugie___,@indihome,mention,0,twitter,IndiHome
boomba_yas2,@indihomecare,mention,0,twitter,IndiHome
biebsbangtanbae,@indihomecare,mention,0,twitter,IndiHome
syzygybench,@bayu3bay,mention,0,twitter,IndiHome
syzygybench,@indihome,mention,0,twitter,IndiHome
simintiri,@indihomecare,mention,0,twitter,IndiHome
indihome,@tidakpunyauang,mention,0,twitter,IndiHome
indihome,@nodevilnolived,mention,0,twitter,IndiHome
hi_prilla,@indihomecare,mention,0,twitter,IndiHome
hi_prilla,@telkomsel,mention,0,twitter,IndiHome
indihome,@nassykucink,mention,0,twitter,IndiHome
hahahastronin,@indihome,mention,0,twitter,IndiHome
yizhaniturealya,@indihome,mention,0,twitter,IndiHome
fchrisabela,@indihome,mention,0,twitter,IndiHome
nyonyonobody,@indihome,mention,0,twitter,IndiHome
dalvvr,@indihome,mention,0,twitter,IndiHome
oxvaaaaaaa,@indihome,mention,0,twitter,IndiHome
arningsih85,@indihomecare,mention,0,twitter,IndiHome
yusufgunawan,@bbangshuhoon,mention,0,twitter,IndiHome
yusufgunawan,@infomalang,mention,0,twitter,IndiHome
kimboooyz,@indihome,mention,0,twitter,IndiHome
kimboooyz,@indihomecare,mention,0,twitter,IndiHome
indihome,@dewadewadwipa28,mention,0,twitter,IndiHome
ra_missone,@indihome,mention,0,twitter,IndiHome
bethesunz,@indihome,mention,0,twitter,IndiHome
yukhwook,@rmcsoobin,mention,0,twitter,IndiHome
telkomsel,@modalcepatid,mention,0,twitter,IndiHome
j_urneyy,@indihome,mention,0,twitter,IndiHome
indihome,@nyonyonobody,mention,0,twitter,IndiHome
mabd_m,@indihome,mention,0,twitter,IndiHome
esbekuuuu,@indihome,mention,0,twitter,IndiHome
itsme_lheea,@indihome,mention,0,twitter,IndiHome
itsme_lheea,@kowalskishit,mention,0,twitter,IndiHome
kualarona,@indihome,mention,0,twitter,IndiHome
kowalskishit,@indihome,mention,0,twitter,IndiHome
upasayangwonu,@indihome,mention,0,twitter,IndiHome
densupratama,@indihome,mention,0,twitter,IndiHome
npcno2003,@indihome,mention,0,twitter,IndiHome
nyonyonobody,@indihomecare,mention,0,twitter,IndiHome
rose_rosyana,@telkomsel,mention,0,twitter,IndiHome
indihome,@raafiakhmad_,mention,0,twitter,IndiHome
bagellair15,@indihomecare,mention,0,twitter,IndiHome
bagellair15,@indihome,mention,0,twitter,IndiHome
indihome,@nvamlh,mention,0,twitter,IndiHome
icegreentea_,@indihome,mention,0,twitter,IndiHome
telkomsel,@rose_rosyana,mention,0,twitter,IndiHome
indihome,@heroe120503,mention,0,twitter,IndiHome
rampoeng,@indihome,mention,0,twitter,IndiHome
sadelights,@bermuara_sayang,mention,0,twitter,IndiHome
dewadewadwipa28,@indihomecare,mention,0,twitter,IndiHome
ancur888,@indihome,mention,0,twitter,IndiHome
racauchelsea,@bilal31246770,mention,0,twitter,IndiHome
racauchelsea,@alfiditto,mention,0,twitter,IndiHome
racauchelsea,@indihome,mention,0,twitter,IndiHome
_laeer,@indihome,mention,0,twitter,IndiHome
nnalifie,@indihome,mention,0,twitter,IndiHome
nnalifie,@indihomecare,mention,0,twitter,IndiHome
poocymaxxing,@indihome,mention,0,twitter,IndiHome
lavendrbangtan,@indihome,mention,0,twitter,IndiHome
biebsbangtanbae,@indihome,mention,0,twitter,IndiHome
simp4ny_,@indihome,mention,0,twitter,IndiHome
telkomsel,@miemince,mention,0,twitter,IndiHome
indihome,@n4aayangiee,mention,0,twitter,IndiHome
asyi_i,@indihome,mention,0,twitter,IndiHome
indihome,@asyi_i,mention,0,twitter,IndiHome
picxen_,@itsmeclover_,mention,0,twitter,IndiHome
fibdillah,@indihome,mention,0,twitter,IndiHome
indihome,@kodokijo_muda,mention,0,twitter,IndiHome
indihome,@faisaloka,mention,0,twitter,IndiHome
protegomaxxima,@telkomsel,mention,0,twitter,IndiHome
indihome,@kkyucing,mention,0,twitter,IndiHome
momotaro7106,@indihomecare,mention,0,twitter,IndiHome
momotaro7106,@indihome,mention,0,twitter,IndiHome
nak_djogja,@indihome,mention,0,twitter,IndiHome
indihome,@antontifosi,mention,0,twitter,IndiHome
indihome,@reemoramora,mention,0,twitter,IndiHome
indihome,@lofxxy,mention,0,twitter,IndiHome
hdwjyaa,@indihome,mention,0,twitter,IndiHome
hdwjyaa,@indihomecare,mention,0,twitter,IndiHome
krumkakei,@indihome,mention,0,twitter,IndiHome
indihome,@ittekimazu,mention,0,twitter,IndiHome
miawstudie,@indihome,mention,0,twitter,IndiHome
indihome,@yiciku,mention,0,twitter,IndiHome
amiwxy,@indihome,mention,0,twitter,IndiHome
yoatobi,@indihome,mention,0,twitter,IndiHome
indihome,@dalvvr,mention,0,twitter,IndiHome
serbipart13,@indihome,mention,0,twitter,IndiHome
mfaqihfathoni,@indihome,mention,0,twitter,IndiHome
sibatucadas,@indihome,mention,0,twitter,IndiHome
sibatucadas,@telkomsel,mention,0,twitter,IndiHome
songsmick96,@indihome,mention,0,twitter,IndiHome
indihome,@kbiya_,mention,0,twitter,IndiHome
indihome,@hdwjyaa,mention,0,twitter,IndiHome
rampoeng,@indihomecare,mention,0,twitter,IndiHome
indihome,@nnalifie,mention,0,twitter,IndiHome
indihome,@miawstudie,mention,0,twitter,IndiHome
kualarona,@indihomecare,mention,0,twitter,IndiHome
capyarifasx,@indihome,mention,0,twitter,IndiHome
achkermant,@indihome,mention,0,twitter,IndiHome
cookieztrmsz,@indihome,mention,0,twitter,IndiHome
limajutadollar,@indihome,mention,0,twitter,IndiHome
hermawangilang,@indihome,mention,0,twitter,IndiHome
ayugaken,@indihome,mention,0,twitter,IndiHome
indihome,@whatevahuwantt,mention,0,twitter,IndiHome
hongjis0,@indihome,mention,0,twitter,IndiHome
liab__,@indihome,mention,0,twitter,IndiHome
h_hoi95,@indihome,mention,0,twitter,IndiHome
fluffymoooon,@indihome,mention,0,twitter,IndiHome
ackewest,@indihome,mention,0,twitter,IndiHome
indihome,@serbipart13,mention,0,twitter,IndiHome
heroe120503,@indihomecare,mention,0,twitter,IndiHome
indihome,@mynameisdhea_,mention,0,twitter,IndiHome
mynameisdhea_,@indihome,mention,0,twitter,IndiHome
anggitym,@indihome,mention,0,twitter,IndiHome
kbiya_,@indihomecare,mention,0,twitter,IndiHome
kbiya_,@indihome,mention,0,twitter,IndiHome
catteasan,@indihome,mention,0,twitter,IndiHome
cassiaava,@indihome,mention,0,twitter,IndiHome
cassiaava,@indihomecare,mention,0,twitter,IndiHome
bayu3bay,@indihome,mention,0,twitter,IndiHome
indihome,@creamybruleee,mention,0,twitter,IndiHome
indihome,@mauumakan_,mention,0,twitter,IndiHome
serbipart13,@titinroque,mention,0,twitter,IndiHome
indihome,@bayu3bay,mention,0,twitter,IndiHome
mynameisdhea_,@indihomecare,mention,0,twitter,IndiHome
indihome,@fangfangrizal,mention,0,twitter,IndiHome
indihome,@cisiturepublik,mention,0,twitter,IndiHome
indihome,@achkermant,mention,0,twitter,IndiHome
indihome,@ludensync666,mention,0,twitter,IndiHome
chesstef,@indihome,mention,0,twitter,IndiHome
makeitaquote,@odejale,mention,0,twitter,IndiHome
makeitaquote,@bengkeldodo,mention,0,twitter,IndiHome
makeitaquote,@indihomecare,mention,0,twitter,IndiHome
makeitaquote,@mcpepes_ai,mention,0,twitter,IndiHome
makeitaquote,@indonesiaku_yes,mention,0,twitter,IndiHome
makeitaquote,@fdonghun,mention,0,twitter,IndiHome
makeitaquote,@humaira979,mention,0,twitter,IndiHome
makeitaquote,@xquitavee,mention,0,twitter,IndiHome
makeitaquote,@epricila10,mention,0,twitter,IndiHome
fenny_thejo,@fadli8830,mention,0,twitter,IndiHome
fenny_thejo,@indihomecare,mention,0,twitter,IndiHome
indihome,@burgyisboring,mention,0,twitter,IndiHome
cookieztrmsz,@indihomecare,mention,0,twitter,IndiHome
indihome,@diersssssss,mention,0,twitter,IndiHome
indihome,@talkzch,mention,0,twitter,IndiHome
indihome,@maeryugame,mention,0,twitter,IndiHome
indihome,@ane2eaab,mention,0,twitter,IndiHome
indihome,@brokreasi,mention,0,twitter,IndiHome
indihome,@nalgoticaas,mention,0,twitter,IndiHome
ayugaken,@indihomecare,mention,0,twitter,IndiHome
dekwiintr,@indihomecare,mention,0,twitter,IndiHome
diersssssss,@indihome,mention,0,twitter,IndiHome
diersssssss,@indihomecare,mention,0,twitter,IndiHome
josse891,@masss_indihome,mention,0,twitter,IndiHome
josse891,@mafiawasit,mention,0,twitter,IndiHome
rizkamanda,@telkomsel,mention,0,twitter,IndiHome
rizkamanda,@indihomecare,mention,0,twitter,IndiHome
indihome,@fadli8830,mention,0,twitter,IndiHome
rhincdontypus,@rayytama,mention,0,twitter,IndiHome
demaskofzorro,@tereasy25,mention,0,twitter,IndiHome
tomylim5,@indihome,mention,0,twitter,IndiHome
nalgoticaas,@indihomecare,mention,0,twitter,IndiHome
jciingy,@indihome,mention,0,twitter,IndiHome
