rank,username,followers,degree_centrality,in_degree,out_degree,is_brand
103,@oxygenidhome,0,0.00023415091026166365,8,0,False
104,@indosatim3,0,0.00023415091026166365,8,0,False
105,@tegalfess,0,0.00023415091026166365,8,0,False
106,@bahtiaryusucup,0,0.00023415091026166365,8,0,False
107,@staekidss,0,0.00023415091026166365,8,0,False
108,@amandrug,0,0.00023415091026166365,8,0,False
109,@rusmtic,0,0.00023415091026166365,8,0,False
110,@eadged,0,0.00023415091026166365,8,0,False
111,@ziiifauzi,0,0.00023415091026166365,8,0,False
112,febrii_yanto,0,0.00023415091026166365,0,8,False
113,bakoelrotimanis,0,0.00023415091026166365,0,8,False
114,masfey,0,0.00023415091026166365,0,8,False
115,__badjingan,0,0.00023415091026166365,0,8,False
116,sleepysillysshi,0,0.00023415091026166365,0,8,False
117,liss_hee,0,0.00023415091026166365,0,8,False
118,erbamandaru,0,0.00023415091026166365,0,8,False
119,syampenuh,0,0.00023415091026166365,0,8,False
120,cryptotegal,0,0.00023415091026166365,0,8,False
121,@baguswibow68400,0,0.0002048820464789557,7,0,False
122,@belvanuraga,0,0.0002048820464789557,7,0,False
123,@ilhamchp,0,0.0002048820464789557,7,0,False
124,@tabisabacatulis,0,0.0002048820464789557,7,0,False
125,@ekawicaksana,0,0.0002048820464789557,7,0,False
126,@myrepublic,0,0.0002048820464789557,7,0,False
127,@sinceritysc4ry,0,0.0002048820464789557,7,0,False
128,@grmedy,0,0.0002048820464789557,7,0,False
129,@mfzalfajri,0,0.0002048820464789557,7,0,False
130,vyourfav,0,0.0002048820464789557,5,2,False
131,ari3pras,0,0.0002048820464789557,4,3,False
132,aukseen,0,0.0002048820464789557,3,4,False
133,rzfn_maxx,0,0.0002048820464789557,2,5,False
134,shuvfle,0,0.0002048820464789557,0,7,False
135,totongulun,0,0.0002048820464789557,0,7,False
136,farhanadl,0,0.0002048820464789557,0,7,False
137,mrxtaa04,0,0.0002048820464789557,0,7,False
138,orenrereren,0,0.0002048820464789557,0,7,False
139,saidlaziale,0,0.0002048820464789557,0,7,False
140,hndrwn_pur,0,0.0002048820464789557,0,7,False
141,hahahih6163,0,0.0002048820464789557,0,7,False
142,mgppap,0,0.0002048820464789557,0,7,False
143,watermelom_arkl,0,0.0002048820464789557,0,7,False
144,chanieaceah,0,0.0002048820464789557,0,7,False
145,dimassawarga,0,0.0002048820464789557,0,7,False
146,eldv1111n,0,0.0002048820464789557,0,7,False
147,cherryyaaa0808,0,0.0002048820464789557,0,7,False
148,rizkanurro36010,0,0.0002048820464789557,0,7,False
149,mat_teleng,0,0.0002048820464789557,0,7,False
150,zaoyun88,0,0.0002048820464789557,0,7,False
151,sinceritysc4ry,0,0.0002048820464789557,0,7,False
152,07nanas,0,0.0002048820464789557,0,7,False
153,nadierubynad,0,0.0002048820464789557,0,7,False
154,hgusfani,0,0.0002048820464789557,0,7,False
155,afnirahma98,0,0.0002048820464789557,0,7,False
156,yunsitroh2014,0,0.0002048820464789557,0,7,False
157,nengdwicahya,0,0.0002048820464789557,0,7,False
158,vievie_salindri,0,0.0002048820464789557,0,7,False
159,ai_firzha,0,0.0002048820464789557,0,7,False
160,puspa_wiwik,0,0.0002048820464789557,0,7,False
161,kxxclypii_,0,0.0002048820464789557,0,7,False
162,aisukuguma,0,0.0002048820464789557,0,7,False
163,agusdar01065138,0,0.0002048820464789557,0,7,False
164,awhirsaputra,0,0.0002048820464789557,0,7,False
165,erickeman,0,0.0002048820464789557,0,7,False
166,@bilal31246770,0,0.00017561318269624775,6,0,False
167,@wisdom_hq,0,0.00017561318269624775,6,0,False
168,@gnfi,0,0.00017561318269624775,6,0,False
169,@indopopbase,0,0.00017561318269624775,6,0,False
170,@anoymou964457,0,0.00017561318269624775,6,0,False
171,@careim3,0,0.00017561318269624775,6,0,False
172,@mediakonsumenid,0,0.00017561318269624775,6,0,False
173,@spouxt,0,0.00017561318269624775,6,0,False
174,@udarenza,0,0.00017561318269624775,6,0,False
175,@iniekaego,0,0.00017561318269624775,6,0,False
176,@ilhamfarizqi,0,0.00017561318269624775,6,0,False
177,@dailyespresso2,0,0.00017561318269624775,6,0,False
178,@indi,0,0.00017561318269624775,6,0,False
179,@txtdrbekasi,0,0.00017561318269624775,6,0,False
180,@indihomejkt,0,0.00017561318269624775,6,0,False
181,@ezash,0,0.00017561318269624775,6,0,False
182,@jukuadar,0,0.00017561318269624775,6,0,False
183,@fishitfess,0,0.00017561318269624775,6,0,False
184,@aukseen,0,0.00017561318269624775,6,0,False
185,@erickthohir,0,0.00017561318269624775,6,0,False
186,@aldhitamar,0,0.00017561318269624775,6,0,False
187,@dw_gre,0,0.00017561318269624775,6,0,False
188,pesut_terbang,0,0.00017561318269624775,3,3,False
189,mahardikans_,0,0.00017561318269624775,1,5,False
190,anarcho_merah,0,0.00017561318269624775,1,5,False
191,pandebaik,0,0.00017561318269624775,1,5,False
192,andi_achilles,0,0.00017561318269624775,0,6,False
193,mhdraa_,0,0.00017561318269624775,0,6,False
194,ferindra,0,0.00017561318269624775,0,6,False
195,datuke,0,0.00017561318269624775,0,6,False
196,bedigasan_,0,0.00017561318269624775,0,6,False
197,gulaigalau,0,0.00017561318269624775,0,6,False
198,konaktytyd,0,0.00017561318269624775,0,6,False
